player_id,player_name,team_abbr,def_fg_pct,def_fga,player_position,season
203552,Seth Curry,CHA,0.47,198,G,2023-24
203496,Robert Covington,PHI,0.424,198,F,2023-24
1629139,Yuta Watanabe,MEM,0.492,195,G-F,2023-24
1630531,Jaden Springer,BOS,0.482,195,G,2023-24
1641730,Noah Clowney,BKN,0.5,194,F,2023-24
1629003,Shake Milton,NYK,0.51,194,G-F,2023-24
1630647,Eugene Omoruyi,WAS,0.492,193,F,2023-24
1628995,Kevin Knox II,POR,0.497,191,F,2023-24
1641712,Rayan Rupert,POR,0.513,189,G-F,2023-24
1629642,Nassir Little,PHX,0.468,188,F-G,2023-24
1641877,Nathan Mensah,CHA,0.548,186,C,2023-24
1631106,Tari Eason,HOU,0.432,183,F,2023-24
201599,DeAndre Jordan,DEN,0.478,182,C,2023-24
203935,Marcus Smart,MEM,0.411,180,G,2023-24
202083,Wesley Matthews,ATL,0.475,179,G,2023-24
1631303,Justin Minaya,POR,0.429,175,F,2023-24
1629643,Chuma Okeke,ORL,0.463,175,F,2023-24
1630526,Jeremiah Robinson-Earl,NOP,0.491,175,F,2023-24
1641787,Tosan Evbuomwan,DET,0.54,174,F,2023-24
1631124,Julian Strawther,DEN,0.437,174,G,2023-24
1630235,Trent Forrest,ATL,0.468,173,G,2023-24
1628420,Monte Morris,MIN,0.453,170,G,2023-24
1630587,Isaiah Livers,DET,0.524,170,F,2023-24
201580,JaVale McGee,SAC,0.434,166,C-F,2023-24
1630346,Matt Ryan,NOP,0.476,164,F,2023-24
1630527,Brandon Boston,LAC,0.491,161,G,2023-24
203469,Cody Zeller,NOP,0.5,156,F-C,2023-24
1629677,Luka Samanic,UTA,0.457,151,F,2023-24
203493,Reggie Bullock Jr.,HOU,0.473,148,G-F,2023-24
1630219,Skylar Mays,LAL,0.439,148,G,2023-24
1627732,Ben Simmons,BKN,0.524,147,G-F,2023-24
1631172,Ousmane Dieng,OKC,0.432,146,F,2023-24
1631311,Lester Quinones,GSW,0.507,146,G,2023-24
1631241,Javon Freeman-Liberty,TOR,0.521,146,G,2023-24
1629650,Moses Brown,POR,0.476,145,C,2023-24
1630548,Johnny Juzang,UTA,0.472,142,G,2023-24
1631115,Orlando Robinson,MIA,0.511,141,C,2023-24
1627745,Damian Jones,CLE,0.432,139,C,2023-24
201988,Patty Mills,MIA,0.496,135,G,2023-24
202066,Garrett Temple,TOR,0.448,134,G-F,2023-24
1641738,Kobe Brown,LAC,0.435,131,F,2023-24
1629630,Ja Morant,MEM,0.557,131,G,2023-24
1630556,Kessler Edwards,SAC,0.481,129,F,2023-24
1630322,Lindy Waters III,OKC,0.395,129,F,2023-24
1630641,Ibou Badji,POR,0.465,127,C,2023-24
1641765,Olivier-Maxence Prosper,DAL,0.472,125,F,2023-24
201565,Derrick Rose,MEM,0.565,124,G,2023-24
