player_name,player_std
RayJ Dennis,9.054473824452103
Rayan Rupert,4.246894290079648
Reed Sheppard,5.863576818039079
Rob Dillingham,4.783998293907865
Robert Williams III,2.895398648430529
Ronald Holland II,4.780535652702588
Royce O'Neale,5.763248646816739
Rudy Gobert,5.670116124240468
Rui Hachimura,6.433499858117911
Russell Westbrook,5.875551098093798
Ryan Dunn,5.640323044615356
Ryan Rollins,5.545940117111191
Saddiq Bey,5.571347495648733
Sam Hauser,5.9410386626030895
Sandro Mamukelashvili,5.895878489378156
Santi Aldama,5.986259879618227
Scoot Henderson,7.0359942526880435
Scottie Barnes,6.608572201665232
Scotty Pippen Jr.,6.260362196507539
Shaedon Sharpe,7.5042884102080425
Shai Gilgeous-Alexander,7.182897903337272
Sidy Cissoko,2.7103532044280914
Simone Fontecchio,6.028246293607667
Spencer Jones,3.2128215360057304
Stephen Curry,9.872000921775111
Stephon Castle,7.0074694267331346
Steven Adams,3.5427981087999227
Svi Mykhailiuk,6.018194918472344
Tari Eason,6.125499092354415
Taurean Prince,4.737239854751017
Taylor Hendricks,4.963121573926611
Terance Mann,5.240034106469639
Terrence Shannon Jr.,6.925859691585765
Terry Rozier,8.343292294759276
Thanasis Antetokounmpo,2.5
Thomas Bryant,5.078338492907621
Tidjane Salaün,4.376234519701677
Tim Hardaway Jr.,7.736291913116412
Tobias Harris,6.807369721448444
Tony Bradley,6.60807586719967
Tosan Evbuomwan,4.886957431897322
Toumani Camara,5.5817212376680345
Trae Young,8.833088892553583
Trayce Jackson-Davis,5.2579405070188985
Tre Jones,5.834717793688469
Tre Mann,6.1322200402109255
Trendon Watford,5.843241462611143
Trey Alexander,2.5
Trey Jemison III,4.709792781072071
Trey Murphy III,8.090866530361334
Tristan Vukcevic,7.248877050095066
Tristan da Silva,6.08600316495231
Ty Jerome,7.13666914857514
Tyler Herro,7.017707325474204
Tyler Kolek,2.5
Tyrese Haliburton,8.134662798098603
Tyrese Martin,5.729444180044422
Tyrese Maxey,9.202388860858944
Tyus Jones,5.7647732446708755
Victor Wembanyama,7.955217631738942
Vince Williams Jr.,5.809236552810811
Vít Krejčí,5.218376931624575
Walker Kessler,4.618662829439527
Wendell Carter Jr.,5.009930088764811
Xavier Tillman,3.9693804127651986
Zach Collins,6.135558271519558
Zach Edey,4.593579652729887
Zach LaVine,8.794687434379755
Zeke Nnaji,3.588698173259292
Ziaire Williams,6.061600325520318
Zion Williamson,7.550743859644395
