game_id,season,season_type,date_utc,home_team_id,away_team_id,final_score_home,final_score_away,status,source
0022500181,2025-26,Regular Season,2025-11-06T03:00:00Z,1610612758,1610612744,121,116,FINAL,cdn
0022500182,2025-26,Regular Season,2025-11-07T02:00:00Z,1610612756,1610612746,115,102,FINAL,cdn
0022500191,2025-26,Regular Season,2025-11-09T20:30:00Z,1610612749,1610612745,115,122,FINAL,cdn
0022500192,2025-26,Regular Season,2025-11-09T23:00:00Z,1610612752,1610612751,134,98,FINAL,cdn
0022500193,2025-26,Regular Season,2025-11-09T23:00:00Z,1610612753,1610612738,107,111,FINAL,cdn
0022500194,2025-26,Regular Season,2025-11-09T23:00:00Z,1610612763,1610612760,100,114,FINAL,cdn
0022500195,2025-26,Regular Season,2025-11-10T00:30:00Z,1610612755,1610612765,108,111,FINAL,cdn
0022500196,2025-26,Regular Season,2025-11-10T01:30:00Z,1610612744,1610612754,114,83,FINAL,cdn
0022500197,2025-26,Regular Season,2025-11-10T02:00:00Z,1610612758,1610612750,117,144,FINAL,cdn
0022500198,2025-26,Regular Season,2025-11-11T00:00:00Z,1610612766,1610612747,111,121,FINAL,cdn
0022500199,2025-26,Regular Season,2025-11-11T00:00:00Z,1610612765,1610612764,137,135,FINAL,cdn
0022500200,2025-26,Regular Season,2025-11-11T00:00:00Z,1610612753,1610612757,115,112,FINAL,cdn
0022500201,2025-26,Regular Season,2025-11-11T00:30:00Z,1610612748,1610612739,140,138,FINAL,cdn
0022500202,2025-26,Regular Season,2025-11-11T01:00:00Z,1610612741,1610612759,117,121,FINAL,cdn
0022500203,2025-26,Regular Season,2025-11-11T01:30:00Z,1610612742,1610612749,114,116,FINAL,cdn
0022500204,2025-26,Regular Season,2025-11-11T02:00:00Z,1610612756,1610612740,121,98,FINAL,cdn
0022500205,2025-26,Regular Season,2025-11-11T02:00:00Z,1610612762,1610612750,113,120,FINAL,cdn
0022500206,2025-26,Regular Season,2025-11-11T03:30:00Z,1610612746,1610612737,102,105,FINAL,cdn
0022500207,2025-26,Regular Season,2025-11-12T00:30:00Z,1610612751,1610612761,109,119,FINAL,cdn
0022500208,2025-26,Regular Season,2025-11-12T00:30:00Z,1610612752,1610612763,133,120,FINAL,cdn
0022500209,2025-26,Regular Season,2025-11-12T01:00:00Z,1610612755,1610612738,102,100,FINAL,cdn
0022500210,2025-26,Regular Season,2025-11-12T01:00:00Z,1610612760,1610612744,126,102,FINAL,cdn
0022500211,2025-26,Regular Season,2025-11-12T02:00:00Z,1610612762,1610612754,152,128,FINAL,cdn
0022500212,2025-26,Regular Season,2025-11-12T04:00:00Z,1610612758,1610612743,108,122,FINAL,cdn
0022500213,2025-26,Regular Season,2025-11-13T00:00:00Z,1610612766,1610612749,111,100,FINAL,cdn
0022500214,2025-26,Regular Season,2025-11-13T00:00:00Z,1610612765,1610612741,124,113,FINAL,cdn
0022500215,2025-26,Regular Season,2025-11-13T00:00:00Z,1610612752,1610612753,107,124,FINAL,cdn
0022500216,2025-26,Regular Season,2025-11-13T00:30:00Z,1610612738,1610612763,131,95,FINAL,cdn
0022500217,2025-26,Regular Season,2025-11-13T00:30:00Z,1610612748,1610612739,116,130,FINAL,cdn
0022500218,2025-26,Regular Season,2025-11-13T01:00:00Z,1610612745,1610612764,135,112,FINAL,cdn
0022500219,2025-26,Regular Season,2025-11-13T01:00:00Z,1610612740,1610612757,117,125,FINAL,cdn
0022500220,2025-26,Regular Season,2025-11-13T01:00:00Z,1610612759,1610612744,120,125,FINAL,cdn
0022500221,2025-26,Regular Season,2025-11-13T01:30:00Z,1610612742,1610612756,114,123,FINAL,cdn
0022500222,2025-26,Regular Season,2025-11-13T02:30:00Z,1610612760,1610612747,121,92,FINAL,cdn
0022500223,2025-26,Regular Season,2025-11-13T03:00:00Z,1610612758,1610612737,100,133,FINAL,cdn
0022500224,2025-26,Regular Season,2025-11-13T03:30:00Z,1610612746,1610612743,116,130,FINAL,cdn
0022500225,2025-26,Regular Season,2025-11-14T00:00:00Z,1610612739,1610612761,113,126,FINAL,cdn
0022500226,2025-26,Regular Season,2025-11-14T02:00:00Z,1610612756,1610612754,133,98,FINAL,cdn
0022500227,2025-26,Regular Season,2025-11-14T02:00:00Z,1610612762,1610612737,122,132,FINAL,cdn
0022500228,2025-26,Regular Season,2025-11-15T22:00:00Z,1610612739,1610612763,108,100,FINAL,cdn
0022500229,2025-26,Regular Season,2025-11-16T00:00:00Z,1610612766,1610612760,96,109,FINAL,cdn
0022500230,2025-26,Regular Season,2025-11-16T00:00:00Z,1610612754,1610612761,111,129,FINAL,cdn
0022500231,2025-26,Regular Season,2025-11-16T01:00:00Z,1610612749,1610612747,95,119,FINAL,cdn
