game_id,season,season_type,team_id,team_tricode,minutes,pts,reb,ast,stl,blk,tov,fga,fgm,fg3a,fg3m,fta,ftm,plus_minus,source
0022500494,2025-26,Regular Season,1610612765,DET,240.0,114,56,25,11,9,16,95,39,40,15,21,21,0,cdn
0022500495,2025-26,Regular Season,1610612753,ORL,240.0,135,43,34,7,6,7,84,47,32,15,34,26,0,cdn
0022500495,2025-26,Regular Season,1610612754,IND,240.0,127,46,38,3,3,11,87,48,34,15,21,16,0,cdn
0022500496,2025-26,Regular Season,1610612751,BKN,240.0,127,52,29,7,5,10,81,41,33,14,37,31,0,cdn
0022500496,2025-26,Regular Season,1610612743,DEN,240.0,115,44,29,4,5,9,85,41,31,11,28,22,0,cdn
0022500497,2025-26,Regular Season,1610612748,MIA,240.0,125,52,30,19,7,14,102,47,44,18,18,13,0,cdn
0022500497,2025-26,Regular Season,1610612740,NOP,240.0,106,58,28,8,8,24,90,42,40,16,8,6,0,cdn
0022500498,2025-26,Regular Season,1610612764,WAS,240.0,115,39,21,9,5,19,88,43,36,12,19,17,0,cdn
0022500498,2025-26,Regular Season,1610612750,MIN,240.0,141,58,29,14,6,14,98,55,37,11,27,20,0,cdn
0022500499,2025-26,Regular Season,1610612756,PHX,240.0,108,60,21,2,1,15,79,35,43,17,29,21,0,cdn
0022500499,2025-26,Regular Season,1610612760,OKC,240.0,105,37,20,2,4,9,82,39,32,10,19,17,0,cdn
0022500500,2025-26,Regular Season,1610612758,SAC,240.0,98,49,17,10,7,10,80,34,25,5,32,25,0,cdn
0022500500,2025-26,Regular Season,1610612749,MIL,240.0,115,56,23,4,2,13,87,39,37,10,30,27,0,cdn
0022500501,2025-26,Regular Season,1610612747,LAL,240.0,120,57,30,4,6,10,80,38,41,11,41,33,0,cdn
0022500501,2025-26,Regular Season,1610612763,MEM,240.0,114,53,29,6,1,8,100,42,41,10,22,20,0,cdn
0022500502,2025-26,Regular Season,1610612765,DET,240.0,121,53,25,12,11,15,86,47,31,16,16,11,0,cdn
0022500502,2025-26,Regular Season,1610612752,NYK,240.0,90,38,15,7,3,20,76,32,30,13,14,13,0,cdn
0022500503,2025-26,Regular Season,1610612738,BOS,240.0,115,64,22,7,4,7,104,42,52,20,13,11,0,cdn
0022500503,2025-26,Regular Season,1610612741,CHI,240.0,101,49,25,2,4,11,86,38,46,16,10,9,0,cdn
0022500504,2025-26,Regular Season,1610612761,TOR,240.0,118,54,34,10,5,13,90,47,37,12,19,12,0,cdn
0022500504,2025-26,Regular Season,1610612737,ATL,240.0,100,55,28,11,1,14,89,35,34,12,21,18,0,cdn
0022500505,2025-26,Regular Season,1610612745,HOU,240.0,100,61,20,5,1,14,87,38,37,9,21,15,0,cdn
0022500505,2025-26,Regular Season,1610612756,PHX,240.0,97,48,23,11,0,10,88,37,41,14,12,9,0,cdn
0022500506,2025-26,Regular Season,1610612760,OKC,240.0,97,48,18,14,5,7,93,34,39,11,27,18,0,cdn
0022500506,2025-26,Regular Season,1610612766,CHA,240.0,124,59,25,4,7,21,77,41,37,19,25,23,0,cdn
0022500507,2025-26,Regular Season,1610612755,PHI,265.0,124,51,28,9,9,14,98,46,45,17,19,15,0,cdn
0022500507,2025-26,Regular Season,1610612743,DEN,265.0,125,52,26,6,6,17,81,43,37,18,28,21,0,cdn
0022500508,2025-26,Regular Season,1610612746,LAC,240.0,103,55,25,5,9,20,77,37,29,10,21,19,0,cdn
0022500508,2025-26,Regular Season,1610612744,GSW,240.0,102,50,27,18,4,7,92,35,41,10,27,22,0,cdn
0022500509,2025-26,Regular Season,1610612757,POR,240.0,137,49,32,9,4,13,93,49,48,19,21,20,0,cdn
0022500509,2025-26,Regular Season,1610612762,UTA,240.0,117,47,32,11,2,15,92,45,31,13,17,14,0,cdn
0022500510,2025-26,Regular Season,1610612754,IND,240.0,116,43,32,10,4,11,93,43,35,16,19,14,0,cdn
0022500510,2025-26,Regular Season,1610612739,CLE,240.0,120,57,33,7,6,19,88,49,26,10,18,12,0,cdn
0022500511,2025-26,Regular Season,1610612764,WAS,240.0,120,52,25,12,10,14,86,39,34,11,33,31,0,cdn
0022500511,2025-26,Regular Season,1610612753,ORL,240.0,112,56,28,8,4,19,92,42,33,12,24,16,0,cdn
0022500512,2025-26,Regular Season,1610612763,MEM,240.0,106,72,28,7,9,20,98,39,49,18,15,10,0,cdn
0022500512,2025-26,Regular Season,1610612759,SAS,240.0,105,60,26,9,4,14,102,38,46,14,18,15,0,cdn
0022500513,2025-26,Regular Season,1610612750,MIN,240.0,122,69,27,7,8,12,98,45,39,14,23,18,0,cdn
